Term,Parent
perpetrators,Authority_viceP3
兇徒,Authority_viceP3
罪犯,Authority_viceP3
犯罪者,Authority_viceP3
作案人,Authority_viceP3
行兇者,Authority_viceP3
肇事者,Authority_viceP3
作惡者,Authority_viceP3
匪徒,Authority_viceP3
fired,Authority_viceP3
解僱,Authority_viceP3
開除,Authority_viceP3
解雇,Authority_viceP3
終止雇傭關係 ,Authority_viceP3
辭退,Authority_viceP3
炒魷魚,Authority_viceP3
炒人,Authority_viceP3
anger,Authority_viceP3
憤怒,Authority_viceP3
生氣,Authority_viceP3
憤慨,Authority_viceP3
怒火,Authority_viceP3
嬲,Authority_viceP3
protested,Authority_viceP3
抗議,Authority_viceP3
示威,Authority_viceP3
反對,Authority_viceP3
抗議示威,Authority_viceP3
抗議遊行,Authority_viceP3
accuse,Authority_viceP3
指責,Authority_viceP3
譴責,Authority_viceP3
把……歸咎,Authority_viceP3
protest,Authority_viceP3
遊行,Authority_viceP3
聲言,Authority_viceP3
斷言,Authority_viceP3
offensive,Authority_viceP3
冒犯,Authority_viceP3
得罪,Authority_viceP3
進攻性的,Authority_viceP3
limited,Authority_viceP3
有限,Authority_viceP3
受限,Authority_viceP3
有限度,Authority_viceP3
限定,Authority_viceP3
定量的,Authority_viceP3
upset,Authority_viceP3
煩憂,Authority_viceP3
心煩意亂,Authority_viceP3
煩亂,Authority_viceP3
懊惱,Authority_viceP3
心煩,Authority_viceP3
hostile,Authority_viceP3
敵對,Authority_viceP3
敵視,Authority_viceP3
不友好 ,Authority_viceP3
懷敵意的,Authority_viceP3
有敵意的,Authority_viceP3
lobbying,Authority_viceP3
遊說,Authority_viceP3
試圖說服,Authority_viceP3
rebel,Authority_viceP3
叛徒,Authority_viceP3
反叛者,Authority_viceP3
背叛者,Authority_viceP3
反抗者,Authority_viceP3
造反者,Authority_viceP3
imposed,Authority_viceP3
強加,Authority_viceP3
施加,Authority_viceP3
打壓,Authority_viceP3
勉強,Authority_viceP3
protesting,Authority_viceP3
抗爭,Authority_viceP3
prosecuted,Authority_viceP3
被捕,Authority_viceP3
被起訴,Authority_viceP3
fought,Authority_viceP3
爭鬥,Authority_viceP3
對抗,Authority_viceP3
disagreed,Authority_viceP3
不同意,Authority_viceP3
意見不合,Authority_viceP3
有分歧,Authority_viceP3
意見唔同,Authority_viceP3
異議,Authority_viceP3
不合,Authority_viceP3
terrorism,Authority_viceP3
恐怖主義,Authority_viceP3
恐怖活動,Authority_viceP3
暴力行為,Authority_viceP3
恐怖組織,Authority_viceP3
暴力恐慌,Authority_viceP3
disruption,Authority_viceP3
打斷,Authority_viceP3
阻礙,Authority_viceP3
干擾,Authority_viceP3
顛覆,Authority_viceP3
protesters,Authority_viceP3
抗議者,Authority_viceP3
示威者,Authority_viceP3
反對者,Authority_viceP3
遊行人士,Authority_viceP3
抗爭者,Authority_viceP3
stuck,Authority_viceP3
卡住,Authority_viceP3
困在,Authority_viceP3
受阻,Authority_viceP3
停滯,Authority_viceP3
塞住,Authority_viceP3
阻塞,Authority_viceP3
陷入困境,Authority_viceP3
rebellion,Authority_viceP3
叛亂,Authority_viceP3
反叛,Authority_viceP3
起義,Authority_viceP3
騷亂,Authority_viceP3
造反,Authority_viceP3
革命,Authority_viceP3
起事,Authority_viceP3
判逆,Authority_viceP3
critic,Authority_viceP3
評論家,Authority_viceP3
批評家,Authority_viceP3
鑑賞家,Authority_viceP3
批評者,Authority_viceP3
rebels,Authority_viceP3
叛亂者,Authority_viceP3
革命者,Authority_viceP3
起義者,Authority_viceP3
反對派,Authority_viceP3
叛逆者,Authority_viceP3
stopping,Authority_viceP3
阻止,Authority_viceP3
阻撓,Authority_viceP3
制止,Authority_viceP3
阻擋,Authority_viceP3
criticized,Authority_viceP3
批評,Authority_viceP3
批判,Authority_viceP3
責怪,Authority_viceP3
