Term,Category of terms,Remarks,,,,,,,,,,,,,,,,,,,,,,
脫離母女關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
斷絶父子關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
斷絶父女關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
斷絶母子關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
斷絶母女關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
有咩好反,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
當權者,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
極權,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
政府,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
嚴正執法,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
繩之於法,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
依法辦事,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
有法理依據,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
跟規矩,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
祖先,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
長輩,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
大哂,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
power,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
authority,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
dominant,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
階級,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
冇規距,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
顛覆國家,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
公民抗命,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
高高在上,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
順民,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
尊卑,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
權力,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
權威,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
佢講你就要聽,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
蒙面法,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
傳統,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
歷史,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
搞亂香港,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
出黎搗亂,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
出黎島亂,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
出o黎搗亂,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
出o黎島亂,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
出嚟搗亂,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
出嚟島亂,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
反動,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
國教,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
國民教育,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
國教2.0,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
服從權威,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
服從性,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
服從命令,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
質疑權威,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
毫不懷疑地服從上級長官的一切合法命令,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
聽order,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
聽指示,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
吾聽話,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
5聽話,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
服從上級,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
服從指令,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
唔服從命令,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
吾服從命令,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
5服從命令,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
濫權,MF_Authority,,,,,,,,,,,,,,,,,,,,,,,
無問責,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
知法犯法,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
還眼,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
吾合理,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
5合理,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
冇公道,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
鶳鳥,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
一視同仁,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
互惠互利,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
唔正當,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
吾正當,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
5正當,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
偏幫,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
幫住哂,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
幫住o西,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
說話藝術,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
語言藝術,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
說話偽術,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
語言偽術,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
win win,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
win-win ,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
正當防衛,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
合理防衛,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
人人平等,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
公道咩,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
還以顏色,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
預左要還,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
一報還一報,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都唔啱,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都唔岩,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都唔o岩,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都吾啱,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都吾岩,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都吾o岩,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都5啱,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都5岩,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都5o岩,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
唔成正比,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
吾成正比,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
冇偏見,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都錯唔哂,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都錯吾哂,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都錯唔o西,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都錯吾o西,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都錯5哂,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都錯5o西,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
好fair,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
好唔fair,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
好吾fair,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
視而不見,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
聽而不聞,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
犯法無成本,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
o厄人,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
雙重標準,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
龍門任搬,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
搬龍門,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
不一樣,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
差別對待,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
差別待遇,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
一律平等,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
不公平,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
吾公平,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
5公平,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
兩邊都有錯,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
各打五十大板,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
各打50大板,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
仇富,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
公義,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
正義已死,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
紅官,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
紅色法官,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
藍官,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
藍色法官,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
黃官,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
無線新聞永遠都唔報導被黃絲私了,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
無線新聞永遠都吾報導黃絲被私了,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
CCTVB,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
官媒,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
毒果,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
黨媒,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
消滅所有不同自己理念既聲音,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
消滅所有不同自己理念gei聲音,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
消滅所有不同自己理念嘅聲音,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
消滅所有唔同嘅聲音,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
消滅所有唔同gei聲音,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
消滅所有吾同gei聲音,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
消滅所有吾同嘅聲音,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
滅聲,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
唔對等,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
吾對等,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
人多蝦人少,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
既定立場,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
選擇性,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
套用不同標準,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
不受法律管制,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
未審先判,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
偏私,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
徇私,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
掩著良心,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
球證旁證足總全部都佢嘅人,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
球證旁證足總全部都佢gei人,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
球證旁證足總全部都佢既人,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
黑警/藍絲就要屌，手足私了就完全無問題,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
"所有黃絲女性都係""天使""，藍絲女性就純潔如聖母",MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
善惡不分,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
維護公義,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
保障其他人既權利,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
等天收,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
嗰班死曱甴好快有報應,MF_Fairness,,,,,,,,,,,,,,,,,,,,,,,
冇左對眼,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
會死人架,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
會死人ga,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
會死人o架,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
會死人O架,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
會死人㗎,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
為達目的不惜手段,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
為達目的不擇手段,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
殺一儆百,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打得好,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
早就應該開槍,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
一早就開左槍,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
大肚婆都打,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
點可以打大肚婆,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
唔出去咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
吾出去咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
5出去咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
唔出去o米冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
吾出去o米冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
5出去o米冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
小朋友都蝦,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
蝦小朋友,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
手無寸鐵,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
雞蛋與高牆,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
雞蛋同牆,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
老弱婦孺,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
弱小,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
bully,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
有人受傷,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打死人,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
唔o係現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
吾o係現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
5o係現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
唔喺現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
吾喺現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
5喺現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
唔係現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
吾係現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
5係現場咪冇事,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打爛野,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打爛嘢,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打爛o野,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
照顧,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
救助,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
救急夫危,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
讓路比救護車,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
同理心,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇人性,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人係吾o岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人就吾o岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人係吾岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人就吾岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人係吾啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人就女啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人係唔o岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人就唔o岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人係唔岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人就唔岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人係唔啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
打人就唔啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
點解可以咁兇殘,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
年青人破壞係非常合理,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力係吾啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力就吾啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力係吾岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力就吾岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力係吾o岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力就吾o岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力係唔啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力就唔啱,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力係唔岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力就唔岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力係唔o岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
暴力係唔O岩,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
以武制暴,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
亂咁打人,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
傷害手足,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
口角之爭就私了就好有問題,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
同一隻老虎講愛心,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性㗎佢哋,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性ga佢哋,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性架佢哋,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性o架佢哋,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性㗎佢o地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性ga佢o地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性架佢o地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性o架佢o地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性㗎佢地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性ga佢地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性架佢地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
冇性o架佢地,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
弱勢團體,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
弱勢社群,MF_Harm,,,,,,,,,,,,,,,,,,,,,,,
愛黨,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
中國,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
中共,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
反共,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
反政府,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
祖國,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
自己人,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
辱國,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
捍衛國家,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
共產黨,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
團結,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
一家人冇隔夜仇,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
當佢一家人,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
當佢屋企人,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係屋企人,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係呀爸,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係亞爸,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係阿爸,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係老豆,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係呀媽,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係阿媽,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係亞媽,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
都係老母,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
黃圈,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
藍圈,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
藍友,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
撐黃,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
叛徒,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
25仔,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
齊心,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
眾志成城,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
賣港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
辱華,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
so辱華,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
香港是我家,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
好L鍾意香港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
好撚鍾意香港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
香港係大家嘅,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
香港係大家gei,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
香港係大家既,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
港毒,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
愛港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
愛香港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
好鍾意香港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
扮黃,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
偽黃,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
出賣手足,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
割蓆,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
打手,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
5毛,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
外國勢力,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
支持同胞,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
齊上齊落,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
不割蓆,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
燒人都唔割,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
燒人都吾割,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
人民互相爭鬥,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
人民互鬥,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
亂港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
批黃,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
鬥黃,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
搞冧香港,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
保衛家園,MF_Loyalty,,,,,,,,,,,,,,,,,,,,,,,
聖母,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
問下你個上帝,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
問o下你個上帝,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
問吓你個上帝,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落嚟見我地,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落黎見我地,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落o黎見我地,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落嚟見我o地,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落黎見我o地,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落o黎見我o地,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落嚟見我哋,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落黎見我哋,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
叫你耶穌落o黎見我哋,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
天真無邪,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
無辜市民,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
丑聞,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
醜化,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
丑化,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
有傷風化,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
埋沒良知,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
食人血饅頭,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
冇品,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
壞左嘅人,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
壞左gei人,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
壞左既人,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
disgust,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
o區心,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
賣淫,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
貞操,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
不想努力,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
屯門跳舞,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
跳舞群組,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
屯門大媽,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
奶共,MF_Sanctity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
