Term,Category of terms,Remarks,,,,,,,,,,,,,,,,,,,,,,
阿嫂,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
家嫂,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
新抱,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
弟婦,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
表姐,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
表姊,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
家人,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
屋企人,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
屋企,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
family,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
家庭gp,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
家庭group,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
屋企gp,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
屋企group,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
family group,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
家庭谷,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
屋企谷,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
喺屋企食飯,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
住家飯,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
親戚食飯,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
family trip,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
family gathering,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
屋企旅行,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
家庭旅行,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
家族旅行,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
母親節,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
老母節,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
父親節,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
老豆節,Family_Context,,,,,,,,,,,,,,,,,,,,,,,
趕出門,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
頂撞,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
頂左幾句,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
鬧大交,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
